City/Town,How many voters were on your Town Meeting checklist?,"Floor vote towns - By your best estimate, what was the highest vote count?","Floor VoteTurnout (%)",Australian ballot towns - How many people voted (including absentee ballots)?,Australian Ballot Turnout (%),Australian ballot towns - How many voted by absentee ballot?,Absentee Ballot Turnout %,Australian ballot towns - Did your town mail absentee ballots to all active registered voters on your checklist?
Waitsfield,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
Walden,757,N/A,N/A,120,15.85%,20,16.67%,No
Wallingford,"1,572",N/A,N/A,304,19.34%,48,15.79%,No
Waltham,411,38,9.25%,N/A,N/A,N/A,N/A,No
Wardsboro,661,62,9.38%,N/A,N/A,N/A,N/A,No
Warren,"1,637",120,7.33%,374,22.85%,55,14.71%,No
Washington,811,90,11.10%,134,16.52%,N/A,N/A,No
Waterbury,"4,567",200,4.38%,"1,155",25.29%,277,23.98%,No
Waterford,"1,092",118,10.81%,N/A,N/A,N/A,N/A,No
Waterville,619,85,13.73%,70,11.31%,N/A,N/A,No
Weathersfield,"2,350",N/A,N/A,720,30.64%,115,15.97%,No
Wells,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Fairlee,550,20,3.64%,70,12.73%,6,8.57%,No
West Haven,203,N/A,N/A,85,41.87%,10,11.76%,No
West Windsor,"1,104",120,10.87%,N/A,N/A,N/A,N/A,No
Westfield,472,38,8.05%,53,11.23%,N/A,N/A,No
Westford,"1,776",N/A,N/A,771,43.41%,598,77.56%,Yes
Westminster,"2,574",124,4.82%,474,18.41%,31,6.54%,No
Westmore,303,59,19.47%,N/A,N/A,N/A,N/A,No
Weston,562,91,16.19%,N/A,N/A,N/A,N/A,No
Weybridge,750,N/A,N/A,207,27.60%,1,0.48%,No
Wheelock,609,40,6.57%,N/A,N/A,N/A,N/A,No
Whiting,303,45,14.85%,N/A,N/A,N/A,N/A,No
Whitingham,"1,070",57,5.33%,148,13.83%,4,2.70%,No
Williamstown,"2,554",82,3.21%,367,14.37%,41,11.17%,No
Williston,"8,549",97,1.13%,"2,053",24.01%,490,23.87%,No
Wilmington,"1,623",92,5.67%,214,13.19%,17,7.94%,No
Windham,340,79,23.24%,119,35.00%,51,42.86%,No
Windsor,"2,585",N/A,N/A,522,20.19%,35,6.70%,No
Winhall,817,100,12.24%,115,14.08%,4,3.48%,No
Winooski,"5,815",N/A,N/A,999,17.18%,102,10.21%,No
Wolcott,"1,278",100,7.82%,282,22.07%,42,14.89%,No
Woodbury,750,86,11.47%,N/A,N/A,N/A,N/A,No
Woodford,273,N/A,N/A,37,13.55%,5,13.51%,No
Woodstock,"2,863",300,10.48%,629,21.97%,55,8.74%,No
