town_city,year,Statistic,Value
Duxbury,2014,highest_flr_vote_count,144
Duxbury,2014,Floor Vote Turnout (%),0.138
Duxbury,2014,ab_towns_num_voted,244
Duxbury,2014,Australian ballot Turnout (%),0.234
Duxbury,2014,ab_towns_absentee_votes,4
Duxbury,2014,Absentee ballot Turnout (%),0.016
East Haven,2014,tm_checklist_voters,189
East Haven,2014,highest_flr_vote_count,24
East Haven,2014,Floor Vote Turnout (%),0.127
East Haven,2014,ab_towns_num_voted,69
East Haven,2014,Australian ballot Turnout (%),0.365
East Haven,2014,ab_towns_absentee_votes,10
East Haven,2014,Absentee ballot Turnout (%),0.145
East Montpelier,2014,tm_checklist_voters,1995
East Montpelier,2014,highest_flr_vote_count,200
East Montpelier,2014,Floor Vote Turnout (%),0.1
East Montpelier,2014,ab_towns_num_voted,542
East Montpelier,2014,Australian ballot Turnout (%),0.272
East Montpelier,2014,ab_towns_absentee_votes,58
East Montpelier,2014,Absentee ballot Turnout (%),0.107
Essex,2014,tm_checklist_voters,15712
Essex,2014,highest_flr_vote_count,261
Essex,2014,Floor Vote Turnout (%),0.017
Essex,2014,ab_towns_num_voted,2101
Essex,2014,Australian ballot Turnout (%),0.134
Essex,2014,ab_towns_absentee_votes,265
Essex,2014,Absentee ballot Turnout (%),0.126
Fair Haven,2014,tm_checklist_voters,1632
Fair Haven,2014,highest_flr_vote_count,NA
Fair Haven,2014,Floor Vote Turnout (%),NA
Fair Haven,2014,ab_towns_num_voted,459
Fair Haven,2014,Australian ballot Turnout (%),0.281
Fair Haven,2014,ab_towns_absentee_votes,48
Fair Haven,2014,Absentee ballot Turnout (%),0.105
Fairfax,2014,tm_checklist_voters,3299
Fairfax,2014,highest_flr_vote_count,98
Fairfax,2014,Floor Vote Turnout (%),0.03
Fairfax,2014,ab_towns_num_voted,614
Fairfax,2014,Australian ballot Turnout (%),0.186
Fairfax,2014,ab_towns_absentee_votes,26
Fairfax,2014,Absentee ballot Turnout (%),0.042
Fairfield,2014,tm_checklist_voters,1245
Fairfield,2014,highest_flr_vote_count,100
Fairfield,2014,Floor Vote Turnout (%),0.08
Fairfield,2014,ab_towns_num_voted,212
Fairfield,2014,Australian ballot Turnout (%),0.17
Fairfield,2014,ab_towns_absentee_votes,3
Fairfield,2014,Absentee ballot Turnout (%),0.014
Fairlee,2014,tm_checklist_voters,726
Fairlee,2014,highest_flr_vote_count,80
Fairlee,2014,Floor Vote Turnout (%),0.11
Fairlee,2014,ab_towns_num_voted,NA
Fairlee,2014,Australian ballot Turnout (%),NA
Fairlee,2014,ab_towns_absentee_votes,NA
Fairlee,2014,Absentee ballot Turnout (%),NA
Fayston,2014,tm_checklist_voters,1077
Fayston,2014,highest_flr_vote_count,87
Fayston,2014,Floor Vote Turnout (%),0.081
Fayston,2014,ab_towns_num_voted,NA
Fayston,2014,Australian ballot Turnout (%),NA
Fayston,2014,ab_towns_absentee_votes,NA
Fayston,2014,Absentee ballot Turnout (%),NA
Fletcher,2014,tm_checklist_voters,865
Fletcher,2014,highest_flr_vote_count,125
Fletcher,2014,Floor Vote Turnout (%),0.145
Fletcher,2014,ab_towns_num_voted,NA
Fletcher,2014,Australian ballot Turnout (%),NA
Fletcher,2014,ab_towns_absentee_votes,NA
Fletcher,2014,Absentee ballot Turnout (%),NA
Franklin,2014,tm_checklist_voters,866
Franklin,2014,highest_flr_vote_count,79
Franklin,2014,Floor Vote Turnout (%),0.091
Franklin,2014,ab_towns_num_voted,171
Franklin,2014,Australian ballot Turnout (%),0.197
Franklin,2014,ab_towns_absentee_votes,15
Franklin,2014,Absentee ballot Turnout (%),0.088
Georgia,2014,tm_checklist_voters,3200
Georgia,2014,highest_flr_vote_count,170
Georgia,2014,Floor Vote Turnout (%),0.053
Georgia,2014,ab_towns_num_voted,791
Georgia,2014,Australian ballot Turnout (%),0.247
Georgia,2014,ab_towns_absentee_votes,84
Georgia,2014,Absentee ballot Turnout (%),0.106
Glover,2014,tm_checklist_voters,774
Glover,2014,highest_flr_vote_count,97
Glover,2014,Floor Vote Turnout (%),0.125
Glover,2014,ab_towns_num_voted,NA
Glover,2014,Australian ballot Turnout (%),NA
Glover,2014,ab_towns_absentee_votes,NA
Glover,2014,Absentee ballot Turnout (%),NA
Goshen,2014,tm_checklist_voters,168
Goshen,2014,highest_flr_vote_count,NA
Goshen,2014,Floor Vote Turnout (%),NA
Goshen,2014,ab_towns_num_voted,66
Goshen,2014,Australian ballot Turnout (%),0.393
Goshen,2014,ab_towns_absentee_votes,6
Goshen,2014,Absentee ballot Turnout (%),0.091
Grafton,2014,tm_checklist_voters,496
Grafton,2014,highest_flr_vote_count,76
Grafton,2014,Floor Vote Turnout (%),0.153
Grafton,2014,ab_towns_num_voted,205
Grafton,2014,Australian ballot Turnout (%),0.413
Grafton,2014,ab_towns_absentee_votes,17
Grafton,2014,Absentee ballot Turnout (%),0.083
Granby,2014,tm_checklist_voters,57
Granby,2014,highest_flr_vote_count,23
Granby,2014,Floor Vote Turnout (%),0.404
Granby,2014,ab_towns_num_voted,14
Granby,2014,Australian ballot Turnout (%),0.246
Granby,2014,ab_towns_absentee_votes,2
Granby,2014,Absentee ballot Turnout (%),0.143
Grand Isle,2014,tm_checklist_voters,1550
Grand Isle,2014,highest_flr_vote_count,NA
Grand Isle,2014,Floor Vote Turnout (%),NA
Grand Isle,2014,ab_towns_num_voted,776
Grand Isle,2014,Australian ballot Turnout (%),0.501
Grand Isle,2014,ab_towns_absentee_votes,NA
Grand Isle,2014,Absentee ballot Turnout (%),NA
Granville,2014,tm_checklist_voters,228
Granville,2014,highest_flr_vote_count,32
Granville,2014,Floor Vote Turnout (%),0.14
Granville,2014,ab_towns_num_voted,NA
Granville,2014,Australian ballot Turnout (%),NA
Granville,2014,ab_towns_absentee_votes,NA
Granville,2014,Absentee ballot Turnout (%),NA
Greensboro,2014,tm_checklist_voters,569
Greensboro,2014,highest_flr_vote_count,110
Greensboro,2014,Floor Vote Turnout (%),0.193
Greensboro,2014,ab_towns_num_voted,112
Greensboro,2014,Australian ballot Turnout (%),0.197
Greensboro,2014,ab_towns_absentee_votes,9
Greensboro,2014,Absentee ballot Turnout (%),0.08
Groton,2014,tm_checklist_voters,643
Groton,2014,highest_flr_vote_count,123
Groton,2014,Floor Vote Turnout (%),0.191
Groton,2014,ab_towns_num_voted,NA
Groton,2014,Australian ballot Turnout (%),NA
Groton,2014,ab_towns_absentee_votes,NA
Groton,2014,Absentee ballot Turnout (%),NA
Guildhall,2014,tm_checklist_voters,188
Guildhall,2014,highest_flr_vote_count,NA
Guildhall,2014,Floor Vote Turnout (%),NA
Guildhall,2014,ab_towns_num_voted,68
Guildhall,2014,Australian ballot Turnout (%),0.362
Guildhall,2014,ab_towns_absentee_votes,12
Guildhall,2014,Absentee ballot Turnout (%),0.176
Guildford,2014,tm_checklist_voters,1646
Guildford,2014,highest_flr_vote_count,NA
Guildford,2014,Floor Vote Turnout (%),NA
Guildford,2014,ab_towns_num_voted,192
Guildford,2014,Australian ballot Turnout (%),0.117
Guildford,2014,ab_towns_absentee_votes,3
Guildford,2014,Absentee ballot Turnout (%),0.016
Halifax,2014,tm_checklist_voters,526
Halifax,2014,highest_flr_vote_count,95
Halifax,2014,Floor Vote Turnout (%),0.181
Halifax,2014,ab_towns_num_voted,146
Halifax,2014,Australian ballot Turnout (%),0.278
Halifax,2014,ab_towns_absentee_votes,11
Halifax,2014,Absentee ballot Turnout (%),0.075
Hartford,2014,tm_checklist_voters,8866
Hartford,2014,highest_flr_vote_count,NA
Hartford,2014,Floor Vote Turnout (%),NA
Hartford,2014,ab_towns_num_voted,1647
Hartford,2014,Australian ballot Turnout (%),0.186
Hartford,2014,ab_towns_absentee_votes,211
Hartford,2014,Absentee ballot Turnout (%),0.128
Hartland,2014,tm_checklist_voters,2430
Hartland,2014,highest_flr_vote_count,178
Hartland,2014,Floor Vote Turnout (%),0.073
Hartland,2014,ab_towns_num_voted,592
Hartland,2014,Australian ballot Turnout (%),0.244
Hartland,2014,ab_towns_absentee_votes,32
Hartland,2014,Absentee ballot Turnout (%),0.054
Highgate,2014,tm_checklist_voters,2025
Highgate,2014,highest_flr_vote_count,129
Highgate,2014,Floor Vote Turnout (%),0.064
Highgate,2014,ab_towns_num_voted,444
Highgate,2014,Australian ballot Turnout (%),0.219
Highgate,2014,ab_towns_absentee_votes,31
Highgate,2014,Absentee ballot Turnout (%),0.07
Hinesburg,2014,tm_checklist_voters,3681
Hinesburg,2014,highest_flr_vote_count,NA
Hinesburg,2014,Floor Vote Turnout (%),NA
Hinesburg,2014,ab_towns_num_voted,780
Hinesburg,2014,Australian ballot Turnout (%),0.212
Hinesburg,2014,ab_towns_absentee_votes,114
Hinesburg,2014,Absentee ballot Turnout (%),0.146
Holland,2014,tm_checklist_voters,390
Holland,2014,highest_flr_vote_count,76
Holland,2014,Floor Vote Turnout (%),0.195
Holland,2014,ab_towns_num_voted,104
Holland,2014,Australian ballot Turnout (%),0.267
Holland,2014,ab_towns_absentee_votes,4
Holland,2014,Absentee ballot Turnout (%),0.038
Hubbardton,2014,tm_checklist_voters,502
Hubbardton,2014,highest_flr_vote_count,49
Hubbardton,2014,Floor Vote Turnout (%),0.098
Hubbardton,2014,ab_towns_num_voted,145
Hubbardton,2014,Australian ballot Turnout (%),0.289
Hubbardton,2014,ab_towns_absentee_votes,8
Hubbardton,2014,Absentee ballot Turnout (%),0.055
Huntington,2014,tm_checklist_voters,1453
Huntington,2014,highest_flr_vote_count,120
Huntington,2014,Floor Vote Turnout (%),0.083
Huntington,2014,ab_towns_num_voted,338
Huntington,2014,Australian ballot Turnout (%),0.233
Huntington,2014,ab_towns_absentee_votes,NA
Huntington,2014,Absentee ballot Turnout (%),NA
Hyde Park,2014,tm_checklist_voters,1986
Hyde Park,2014,highest_flr_vote_count,140
Hyde Park,2014,Floor Vote Turnout (%),0.07
Hyde Park,2014,ab_towns_num_voted,220
Hyde Park,2014,Australian ballot Turnout (%),0.111
Hyde Park,2014,ab_towns_absentee_votes,28
Hyde Park,2014,Absentee ballot Turnout (%),0.127
Ira,2014,tm_checklist_voters,325
Ira,2014,highest_flr_vote_count,38
Ira,2014,Floor Vote Turnout (%),0.117
Ira,2014,ab_towns_num_voted,64
Ira,2014,Australian ballot Turnout (%),0.197
Ira,2014,ab_towns_absentee_votes,4
Ira,2014,Absentee ballot Turnout (%),0.062
Irasburg,2014,tm_checklist_voters,737
Irasburg,2014,highest_flr_vote_count,120
Irasburg,2014,Floor Vote Turnout (%),0.163
Irasburg,2014,ab_towns_num_voted,NA
Irasburg,2014,Australian ballot Turnout (%),NA
Irasburg,2014,ab_towns_absentee_votes,NA
Irasburg,2014,Absentee ballot Turnout (%),NA
Isle La Motte,2014,tm_checklist_voters,385
