CITY/TOWN          , "AUSTRALIAN
                     BALLOT used to
                     vote for Town
                     Officers"     , "AUSTRALIAN
                                     BALLOT used to
                                     vote for Town
                                     Budget"       , "AUSTRALIAN
                                                     BALLOT used to
                                                     vote for Town
                                                     Public Questions", "AUSTRALIAN BALLOT voting
                                                                        adopted by TOWN for budget,
                                                                        officers, or public questions
                                                                        at 2025 Town Meeting"              , "AUSTRALIAN BALLOT used for
Hubbardton         , Yes           , No            , No               , No                                 , No                         , Yes            , No               , Yes              , No                   , No
Huntington         , Yes           , No            , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Hyde Park          , No            , No            , No               , "Our Town voted to move all
                                                                        officers to Australian Ballot."    , Partially                  , Yes            , No               , Yes              , No                   , No
Ira                , Yes           , Yes           , Yes              , N/A                                , Yes                        , No             , Yes              , Yes              , Yes                  , N/A
Irasburg           , No            , No            , No               , NO                                 , No                         , Yes            , No               , No               , No                   , NO
Isle La Motte      , Yes           , Yes           , Yes              , Yes                                , Yes                        , Yes            , Yes              , Yes              , Yes                  , Yes
Jamaica            , No            , No            , No               , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , no
Jay                , No            , No            , No               , No                                 , No                         , No             , No               , No               , No                   , N/A
Jericho            , Yes           , Yes           , Yes              , "2024 was when we changed to
                                                                        voting the Town Budget and
                                                                        yes/no questions by Australian
                                                                        ballot"                            , Yes                        , Yes            , Yes              , Yes              , Yes                  , "In 2023 made the switch to vote
                                                                                                                                                                                                                        Union School District officers and
                                                                                                                                                                                                                        yes/no questions by ballot"
Johnson            , Yes           , Yes           , No               , no                                 , Partially                  , Yes            , Yes              , Yes              , No                   , no
Killington         , Yes           , Yes           , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , Yes
Kirby              , No            , No            , No               , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , no
Landgrove          , No            , No            , No               , no                                 , Partially                  , Yes            , No               , Yes              , Yes                  , no
Leicester          , Yes           , No            , Yes              , YES                                , Yes                        , Yes            , No               , Yes              , No                   , NO
Lemington          , No            , No            , No               , N/A                                , Yes                        , Yes            , Yes              , Yes              , Yes                  , n/a
Lincoln            , Yes           , No            , No               , We voted to table this question.   , Partially                  , No             , Yes              , No               , No                   , We voted to table this article.
Londonderry        , No            , No            , No               , No                                 , No                         , No             , No               , No               , No                   , No
Lowell             , No            , No            , No               , NO                                 , Partially                  , Yes            , No               , Yes              , No                   , NO
Ludlow             , Yes           , No            , Yes              , N/A                                , Partially                  , Yes            , No               , Yes              , Yes                  , N/A
Lunenburg          , Yes           , No            , No               , "No, this was not on our 2025
                                                                        Warning"                           , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Lyndon             , Yes           , No            , Yes              , "Did not move to aust ballot
                                                                        voting for budgets"                , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Maidstone          , Yes           , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Manchester         , Yes           , No            , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Marlboro           , Yes           , Yes           , Yes              , "NO, 2023 & 2024"                  , Yes                        , No             , Yes              , Yes              , Yes                  , NO
Marshfield         , No            , No            , No               , no                                 , Partially                  , Yes            , No               , Yes              , No                   , no
Mendon             , Yes           , No            , No               , NO                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , no
Middlebury         , Yes           , No            , Yes              , "NO, WE ARE ALREADY ON
                                                                        AUSTRALIAN BALLOT."                , Yes                        , Yes            , Yes              , Yes              , Yes                  , "NO, THEY ALREADY USED
                                                                                                                                                                                                                        AUSTRALIAN BALLOT."
Middlesex          , Yes           , Yes           , Yes              , no                                 , Partially                  , Yes            , No               , Yes              , Yes                  , No
Middletown Springs , Yes           , Yes           , Yes              , No                                 , Partially                  , Yes            , Yes              , Yes              , No                   , "No. ***The school district votes
                                                                                                                                                                                                                        School Board members by
                                                                                                                                                                                                                        Australian Ballot and Clerk,
                                                                                                                                                                                                                        Treasurer & Moderator, by Floor
                                                                                                                                                                                                                        vote."
